Course Code,Course,Institution,Level,Topic,Participant,Pre,Post,Difference,Pre Duration (seconds),Post Duration (seconds)
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,281,0,6,6,111983,399
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,282,7,6,-1,698,389
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,283,4.5,6.5,2,740,2011
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,284,5,4.5,-0.5,565,295
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,285,7.5,8,0.5,776,433
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,286,5.5,4,-1.5,561,312
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,287,7.5,2,-5.5,344,95
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,288,2.5,5,2.5,124,395
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,289,3,1.5,-1.5,307,140
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,290,7,8.5,1.5,1337,1893
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,291,1,8.5,7.5,5540,483
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,292,4,3,-1,1360,6708
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,293,4.5,4,-0.5,435,302
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,294,-0.5,5,5.5,274,741
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,295,3.5,2,-1.5,185,126
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,296,2,4,2,366,171
S20_USD,R1_Gen_Bio,1R,lower,1General Biology,297,3.5,5,1.5,707,366
